slug,org,name,url,calendar,expect,check,archive,parse,status,public,parent,runner,added
campo-events-ical,CAMPO,Events (Tribe iCal feed),https://www.campotexas.org/?post_type=tribe_events&ical=1&eventDisplay=list,campo,always,twice daily,no,ics,active,no,,ci,2026-07-19
campo-meeting-agendas,CAMPO,Meeting agendas,https://www.campotexas.org/resource-category/meeting-agendas/,campo,always,twice daily,no,html,active,yes,,ci,2026-08-09
capmetro-legistar-calendar,CapMetro,Legistar calendar,https://capmetrotx.legistar.com/Calendar.aspx,capmetro,always,twice daily,no,html,active,yes,,ci,2026-07-19
capmetro-legistar-api,CapMetro,Legistar Web API events,https://webapi.legistar.com/v1/capmetrotx/events,capmetro,always,twice daily,no,api,active,no,,ci,2026-07-19
ttc-meeting-dates,TTC,Meeting dates and agendas,https://www.txdot.gov/about/leadership/texas-transportation-commission/meeting-dates-agendas.html,txdot,always,twice daily,no,html-table,active,yes,,ci,2026-07-19
lcra-board-schedule,LCRA,Board meeting schedule,https://www.lcra.org/about/leadership/board-meeting-schedule/,lcra,always,twice daily,no,html-table,active,yes,,ci,2026-07-19
lcra-water-public-comment,LCRA,Water rules and permits open for public comment,https://www.lcra.org/water/water-related-rules-and-regulations-for-public-comment/,lcra,sporadic,daily,yes,html,active,yes,,mac,2026-08-03
ctrma-board-upcoming,CTRMA,Board meetings (upcoming),https://www.mobilityauthority.com/board-meetings/upcoming/,ctrma,always,twice daily,no,html,active,yes,,ci,2026-07-19
coa-council-legistar-calendar,CoA,City Council Legistar calendar,https://austintexas.legistar.com/Calendar.aspx,austin,always,twice daily,no,html,active,yes,,ci,2026-07-25
coa-council-legistar-api,CoA,City Council Legistar Web API,https://webapi.legistar.com/v1/austintexas/events,austin,always,twice daily,no,api,active,no,,ci,2026-07-25
coa-council-annual-schedule-pdf,CoA,Council annual meeting schedule (EDIMS PDF),https://services.austintexas.gov/edims/document.cfm?id=462100,austin,annual Jan,twice daily,no,pdf,active,yes,,ci,2026-07-25
coa-airport-advisory-commission,CoA,Airport Advisory Commission,https://www.austintexas.gov/boards-commissions/board/airport-advisory-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-07-25
coa-airport-advisory-commission-meetings,CoA,Airport Advisory Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/7_1,austin,always,twice daily,no,html,active,yes,coa-airport-advisory-commission,ci,2026-07-25
coa-integrated-water-resource-planning-task-force,CoA,Austin Integrated Water Resource Planning Community Task Force,https://www.austintexas.gov/boards-commissions/board/austin-integrated-water-resource-planning-community-task-force,austin,always,twice daily,no,html,active,yes,,ci,2026-07-25
coa-integrated-water-resource-planning-task-force-meetings,CoA,Austin Integrated Water Resource Planning Community Task Force — meeting content,https://www.austintexas.gov/boards-commissions/meetings/132_1,austin,always,twice daily,no,html,active,yes,coa-integrated-water-resource-planning-task-force,ci,2026-07-25
coa-bond-oversight-commission,CoA,Bond Oversight Commission,https://www.austintexas.gov/boards-commissions/board/bond-oversight-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-08-09
coa-bond-oversight-commission-meetings,CoA,Bond Oversight Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/2_1,austin,always,twice daily,no,html,active,yes,coa-bond-oversight-commission,ci,2026-08-09
coa-design-commission,CoA,Design Commission,https://www.austintexas.gov/boards-commissions/board/design-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-07-25
coa-design-commission-meetings,CoA,Design Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/22_1,austin,always,twice daily,no,html,active,yes,coa-design-commission,ci,2026-07-25
coa-electric-utility-commission,CoA,Electric Utility Commission,https://www.austintexas.gov/boards-commissions/board/electric-utility-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-08-09
coa-electric-utility-commission-meetings,CoA,Electric Utility Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/27_1,austin,always,twice daily,no,html,active,yes,coa-electric-utility-commission,ci,2026-08-09
coa-environmental-commission,CoA,Environmental Commission,https://www.austintexas.gov/boards-commissions/board/environmental-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-08-09
coa-environmental-commission-meetings,CoA,Environmental Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/28_1,austin,always,twice daily,no,html,active,yes,coa-environmental-commission,ci,2026-08-09
coa-historic-landmark-commission,CoA,Historic Landmark Commission,https://www.austintexas.gov/boards-commissions/board/historic-landmark-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-08-09
coa-historic-landmark-commission-meetings,CoA,Historic Landmark Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/31_1,austin,always,twice daily,no,html,active,yes,coa-historic-landmark-commission,ci,2026-08-09
coa-planning-commission,CoA,Planning Commission,https://www.austintexas.gov/boards-commissions/board/planning-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-07-25
coa-planning-commission-meetings,CoA,Planning Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/40_1,austin,always,twice daily,no,html,active,yes,coa-planning-commission,ci,2026-07-25
coa-small-area-planning-joint-committee,CoA,Small Area Planning Joint Committee,https://www.austintexas.gov/boards-commissions/board/small-area-planning-joint-committee,austin,always,twice daily,no,html,active,yes,,ci,2026-08-09
coa-small-area-planning-joint-committee-meetings,CoA,Small Area Planning Joint Committee — meeting content,https://www.austintexas.gov/boards-commissions/meetings/139_1,austin,always,twice daily,no,html,active,yes,coa-small-area-planning-joint-committee,ci,2026-08-09
coa-urban-transportation-commission,CoA,Urban Transportation Commission,https://www.austintexas.gov/boards-commissions/board/urban-transportation-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-07-25
coa-urban-transportation-commission-meetings,CoA,Urban Transportation Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/50_1,austin,always,twice daily,no,html,active,yes,coa-urban-transportation-commission,ci,2026-07-25
coa-water-and-wastewater-commission,CoA,Water and Wastewater Commission,https://www.austintexas.gov/boards-commissions/board/water-and-wastewater-commission,austin,always,twice daily,no,html,active,yes,,ci,2026-08-09
coa-water-and-wastewater-commission-meetings,CoA,Water and Wastewater Commission — meeting content,https://www.austintexas.gov/boards-commissions/meetings/52_1,austin,always,twice daily,no,html,active,yes,coa-water-and-wastewater-commission,ci,2026-08-09
coa-bicycle-advisory-council,CoA,Bicycle Advisory Council,https://www.austintexas.gov/council/bicycle-advisory-council,austin,always,twice daily,no,html,active,yes,,ci,2026-07-28
coa-bicycle-advisory-council-meetings,CoA,Bicycle Advisory Council — meeting content,https://www.austintexas.gov/boards-commissions/meetings/110_1,austin,always,twice daily,no,html,active,yes,,ci,2026-07-28
coa-pedestrian-advisory-council,CoA,Pedestrian Advisory Council,https://www.austintexas.gov/council/pedestrian-advisory-council,austin,always,twice daily,no,html,active,yes,,ci,2026-07-28
coa-pedestrian-advisory-council-meetings,CoA,Pedestrian Advisory Council — meeting content,https://www.austintexas.gov/boards-commissions/meetings/121_1,austin,always,twice daily,no,html,active,yes,,ci,2026-07-28
coa-speak-up-austin-events,CoA,Speak Up Austin events,https://publicinput.com/Portal/F1211#events,,always,every 3 days,no,manual,active,yes,,manual,2026-07-25
atp-events-ical,ATP,Events (Tribe iCal feed),https://www.atptx.org/?post_type=tribe_events&ical=1&eventDisplay=list,atp,always,twice daily,no,ics,active,no,,ci,2026-07-25
atp-escribe-portal,ATP,Board agendas (eScribe portal),https://pub-atptx.escribemeetings.com/?FillWidth=1,atp,always,twice daily,no,html,active,yes,,ci,2026-08-18
atp-community-advisory-committee,ATP,Community Advisory Committee,https://www.projectconnect.com/community-advisory-committee/,atp,always,twice daily,no,html,active,yes,,ci,2026-08-09
txdot-utp-public-involvement,TxDOT,UTP public involvement,https://www.txdot.gov/projects/planning/utp/utp-public-involvement.html,txdotev,annual Jul-Aug,daily Jul-Aug; every 3 days otherwise,yes,html,active,yes,,mac,2026-07-26
txdot-bpac,TxDOT,Bicycle and Pedestrian Advisory Committee,https://www.txdot.gov/about/advisory-committees/bicycle-pedestrian-advisory-committee.html,txdotev,always,twice daily,no,html-table,active,yes,,ci,2026-07-26
txdot-ptac,TxDOT,Public Transportation Advisory Committee,https://www.txdot.gov/about/advisory-committees/public-transportation-advisory-committee.html,txdotev,always,twice daily,no,html-table,active,yes,,ci,2026-07-26
txdot-hearings-meetings,TxDOT,Hearings and meetings index,https://www.txdot.gov/projects/hearings-meetings.html,txdotev,always,twice daily,no,html-table,active,yes,,ci,2026-07-28
txdot-bike-ped-coordinators,TxDOT,Bicycle and pedestrian coordinators,https://www.txdot.gov/about/advisory-committees/bicycle-pedestrian-advisory-committee/regional-coordination-planning.html,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
legislature-senate-events,Legislature,Senate committee events,https://senate.texas.gov/events.php,legislature,sporadic,twice daily,no,html,active,yes,,ci,2026-07-28
legislature-house-meetings-upcoming,Legislature,House committee meetings (upcoming),https://capitol.texas.gov/Committees/MeetingsUpcoming.aspx?Chamber=H,legislature,sporadic,twice daily,no,html,active,yes,,ci,2026-08-15
puc-calendar-rss,PUC,Commission calendar RSS,https://www.puc.texas.gov/agency/calendar/getcalendarrss/,puc,always,twice daily,no,rss,active,no,,ci,2026-08-17
puc-broadcasts,PUC,Broadcasts,https://www.puc.texas.gov/agency/calendar/broadcasts/,puc,always,twice daily,no,html,active,yes,,ci,2026-08-17
tpsc-wp-posts,TPSC,Announcements (WP REST posts),https://www.texaspedsafety.org/wp-json/wp/v2/posts,tpsc,sporadic,twice daily,no,api,active,no,,ci,2026-09-05
tpsc-wp-pages,TPSC,Coalition meeting pages (WP REST),https://www.texaspedsafety.org/wp-json/wp/v2/pages,tpsc,sporadic,twice daily,no,api,active,no,,ci,2026-09-05
sos-open-meetings,SOS,Texas Register open meetings (UNT mirror),https://texinfo.library.unt.edu/texasregister/openmeetings/OpenMeetings.html,openmeetings,always,twice daily,no,html,active,yes,,ci,2026-07-26
coa-2908-south-congress,CoA,2908 South Congress,https://www.speakupaustin.org/2908SouthCongress,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-barton-springs-road-bridge,CoA,Barton Springs Road Bridge project,https://publicinput.com/x45024,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-burnet-road-corridor,CoA,Burnet Road corridor project,https://publicinput.com/n73647,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-citywide-density-bonus,CoA,C20-2024-004 Citywide Density Bonus Program,https://www.speakupaustin.org/Citywidedb,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-central-city-district-plan,CoA,Central City District Plan,https://www.speakupaustin.org/centralcity,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-cesar-chavez-renaming,CoA,César Chávez Street Renaming,https://www.speakupaustin.org/renaming-cesar-chavez-project,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-cesar-chavez-renaming-survey,CoA,César Chávez Street Renaming Survey,https://www.speakupaustin.org/r31038,,sporadic,every 3 days,yes,none,active,yes,coa-cesar-chavez-renaming,mac,2026-09-01
